gpu,compute_capability,m,n,k,kernel,path,time_ms,gflops,relative_to_cublas,max_abs_error,max_rel_error,mismatches,passed
"NVIDIA GeForce RTX 4090",8.9,4096,4096,4096,naive,edge-safe,25.055620,5485.354280,0.111303,0.000000,0.000000,0,true
"NVIDIA GeForce RTX 4090",8.9,4096,4096,4096,tiled,edge-safe,28.157932,4881.003054,0.099040,0.000000,0.000000,0,true
"NVIDIA GeForce RTX 4090",8.9,4096,4096,4096,register,vectorized,3.297730,41676.830696,0.845661,0.000000,0.000000,0,true
"NVIDIA GeForce RTX 4090",8.9,4096,4096,4096,cp-async,vectorized,3.327729,41301.131707,0.838038,0.000000,0.000000,0,true
"NVIDIA GeForce RTX 4090",8.9,4096,4096,4096,wmma-bf16,tensor-core,3.168500,43376.665971,0.880152,0.244586,13432.092773,0,true
"NVIDIA GeForce RTX 4090",8.9,4096,4096,4096,cublas,library,2.788762,49283.148727,1.000000,0.000000,0.000000,0,true
