gpu,compute_capability,m,n,k,kernel,path,time_ms,gflops,relative_to_cublas,max_abs_error,max_rel_error,mismatches,passed
"NVIDIA GeForce RTX 4090",8.9,257,263,269,naive,edge-safe,0.013882,2619.579820,0.486860,0.000015,0.059868,0,true
"NVIDIA GeForce RTX 4090",8.9,257,263,269,tiled,edge-safe,0.015155,2399.437551,0.445946,0.000015,0.059868,0,true
"NVIDIA GeForce RTX 4090",8.9,257,263,269,register,edge-safe,0.036454,997.518985,0.185393,0.000015,0.059868,0,true
"NVIDIA GeForce RTX 4090",8.9,257,263,269,cublas,library,0.006758,5380.557042,1.000000,0.000000,0.000000,0,true
